"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 03 17:38:37 IST 2022","Thu Nov 03 17:38:37 IST 2022","593","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""bussiness""",""
"failed","Thu Nov 03 17:44:52 IST 2022","Thu Nov 03 17:44:57 IST 2022","5148","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""youtube""",""
"failed","Thu Nov 03 17:37:29 IST 2022","Thu Nov 03 17:37:30 IST 2022","1330","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""abstract visuals""",""
"failed","Thu Nov 03 17:44:15 IST 2022","Thu Nov 03 17:44:15 IST 2022","413","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""tim burton""",""
"failed","Thu Nov 03 17:44:48 IST 2022","Thu Nov 03 17:44:49 IST 2022","533","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""woman in a dreamy scene""",""
"failed","Thu Nov 03 17:38:49 IST 2022","Thu Nov 03 17:38:53 IST 2022","3871","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""cherry blossom""",""
"passed","Thu Nov 03 17:31:56 IST 2022","Thu Nov 03 17:32:00 IST 2022","4797","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""overweight""",""
"failed","Thu Nov 03 17:43:34 IST 2022","Thu Nov 03 17:43:42 IST 2022","8102","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""street style""",""
"failed","Thu Nov 03 17:39:08 IST 2022","Thu Nov 03 17:39:10 IST 2022","1124","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""domestic violence""",""
"failed","Thu Nov 03 17:42:51 IST 2022","Thu Nov 03 17:43:01 IST 2022","9412","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""shapes""",""
"passed","Thu Nov 03 17:37:33 IST 2022","Thu Nov 03 17:37:42 IST 2022","8459","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""autumn leaves""",""
"failed","Thu Nov 03 17:38:17 IST 2022","Thu Nov 03 17:38:28 IST 2022","10680","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""black background""",""
"failed","Thu Nov 03 17:42:31 IST 2022","Thu Nov 03 17:42:31 IST 2022","451","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""pop colture""",""
"failed","Thu Nov 03 17:44:22 IST 2022","Thu Nov 03 17:44:22 IST 2022","500","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""vibing - slang""",""
"passed","Thu Nov 03 17:41:22 IST 2022","Thu Nov 03 17:41:31 IST 2022","9408","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""liquid flowing""",""
"passed","Thu Nov 03 17:42:40 IST 2022","Thu Nov 03 17:42:46 IST 2022","6317","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""running water""",""
"passed","Thu Nov 03 17:33:37 IST 2022","Thu Nov 03 17:33:47 IST 2022","9187","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""spinning""",""
"passed","Thu Nov 03 17:41:06 IST 2022","Thu Nov 03 17:41:13 IST 2022","7206","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""homeless""",""
"passed","Thu Nov 03 17:42:31 IST 2022","Thu Nov 03 17:42:39 IST 2022","7981","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""powerful""",""
"passed","Thu Nov 03 17:30:33 IST 2022","Thu Nov 03 17:30:42 IST 2022","9265","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""intro""",""
